Id;Role;Name;Squad;Price;MyRating;Mate;Regularness;FVM;Pg22_23;Mv22_23;Mf22_23;Pg21_22;Mv21_22;Mf21_22;Pg20_21;Mv20_21;Mf20_21;Pg19_20;Mv19_20;Mf19_20;Pg18_19;Mv18_19;Mf18_19
4431;P;Carnesecchi;Atalanta;10;1.4;Musso;3;10;27;6.35;4.63;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
2792;P;Musso;Atalanta;5;2.4;Carnesecchi;4;28;23;6.13;4.85;33;6.11;4.79;35;6.13;4.6;38;6.28;5.08;29;6.26;4.81
2297;P;Rossi F.;Atalanta;1;1.0;;1;1;0;0.0;0.0;1;6.0;5.0;0;0.0;0.0;1;6.0;5.0;1;0.0;0.0
554;D;Zappacosta;Atalanta;15;4.4;Holm;4;41;21;6.12;6.64;31;6.08;6.24;25;6.22;6.72;9;5.72;5.83;0;0.0;0.0
5067;D;Bakker;Atalanta;11;4.0;Ruggeri;4;23;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
5526;D;Scalvini;Atalanta;10;3.4;;5;30;32;5.95;6.03;14;5.96;6.14;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
5678;D;Holm;Atalanta;10;3.0;Zappacosta;3;20;18;6.06;6.17;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
2640;D;Kolasinac;Atalanta;9;4.0;;5;22;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
695;D;Toloi;Atalanta;8;3.0;Djimsiti;4;12;32;5.98;6.05;19;6.0;6.05;31;5.94;5.97;33;6.18;6.35;21;6.07;6.19
787;D;Djimsiti;Atalanta;8;2.7;Toloi;3;16;22;5.91;5.89;29;5.86;5.84;33;6.09;6.03;34;6.07;6.21;24;5.84;5.86
2181;D;Palomino;Atalanta;6;2.2;;3;8;14;5.82;5.75;33;6.14;6.09;36;5.97;6.05;30;5.97;6.05;30;6.05;6.07
2130;D;Hateboer;Atalanta;6;2.2;;3;10;17;5.88;5.91;21;5.79;5.74;22;6.16;6.41;32;5.88;5.85;35;6.06;6.57
4433;D;Zortea;Atalanta;5;2.1;;2;4;15;6.0;6.1;23;5.78;5.96;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
5354;D;Ruggeri;Atalanta;5;2.0;Bakker;3;10;10;5.85;5.8;13;5.85;5.81;6;5.5;5.5;0;0.0;0.0;0;0.0;0.0
6444;D;Bonfanti;Atalanta;1;1.0;;1;1;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
5685;C;Koopmeiners;Atalanta;24;4.8;;5;112;33;6.36;7.14;28;6.3;6.62;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
2077;C;Pasalic;Atalanta;13;4.0;Ederson D.s.;3;30;32;5.95;6.41;33;6.24;7.56;25;6.08;7.0;35;6.15;6.88;33;5.89;6.45
5792;C;Ederson D.s.;Atalanta;12;2.8;Pasalic;4;20;34;5.94;6.0;15;6.17;6.47;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
22;C;De Roon;Atalanta;11;3.0;;5;18;34;6.1;6.26;30;5.95;6.13;35;6.07;6.06;35;5.97;6.06;35;6.01;6.1
5001;C;Miranchuk;Atalanta;9;3.4;;3;8;28;6.23;6.84;18;5.89;6.44;25;6.22;7.03;0;0.0;0.0;0;0.0;0.0
5995;C;De Ketelaere;Atalanta;9;2.0;Lookman;3;41;27;5.74;5.74;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
4870;C;Adopo;Atalanta;3;1.0;;1;4;4;5.88;5.75;0;0.0;0.0;0;0.0;0.0;2;0.0;0.0;0;0.0;0.0
2137;A;Scamacca;Atalanta;27;4.0;Muriel;4;220;0;0.0;0.0;32;6.22;7.61;26;6.17;7.08;0;0.0;0.0;0;0.0;0.0
4730;A;Lookman;Atalanta;24;4.6;De Ketelaere;4;155;30;6.47;7.92;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6229;A;Toure' E.;Atalanta;15;3.0;;2;45;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
507;A;Muriel;Atalanta;13;3.1;Scamacca;3;38;25;6.02;6.42;26;6.37;7.69;36;6.67;8.92;34;6.32;7.98;19;6.0;6.92
133;P;Skorupski;Bologna;10;2.7;;5;32;37;6.19;4.97;36;6.24;4.79;28;6.09;4.64;37;5.99;4.31;38;6.11;4.62
2722;P;Ravaglia F.;Bologna;1;1.0;;2;1;0;0.0;0.0;0;0.0;0.0;4;5.88;3.38;0;0.0;0.0;0;0.0;0.0
5822;P;Bagnolini;Bologna;1;1.0;;1;1;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6066;D;Posch;Bologna;15;5.0;;5;46;30;6.12;6.68;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6042;D;Lucumi';Bologna;7;1.7;;4;16;33;5.83;5.68;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6148;D;Kristiansen;Bologna;7;4.0;;4;22;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6202;D;Beukema;Bologna;6;4.0;;5;22;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
2653;D;Lykogiannis;Bologna;5;2.4;;3;8;19;5.97;6.21;25;5.7;5.78;31;5.8;6.1;20;5.74;5.68;11;5.5;5.55
4945;D;Calafiori;Bologna;4;2.0;;2;7;0;0.0;0.0;4;5.62;5.62;3;6.0;5.5;1;6.5;6.5;0;0.0;0.0
4891;D;Soumaoro;Bologna;3;1.4;;2;5;23;6.0;5.89;27;5.83;5.57;20;5.82;5.88;8;5.88;6.12;0;0.0;0.0
2192;D;Bonifazi;Bologna;2;1.2;;2;3;13;5.73;5.65;17;5.65;5.41;30;5.88;5.8;17;5.56;5.85;27;5.94;6.13
6407;D;Corazza;Bologna;2;1.0;;1;1;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
487;D;De Silvestri;Bologna;1;1.8;;1;3;13;5.92;5.96;31;5.94;6.18;29;5.71;5.86;29;5.77;5.73;32;6.0;6.29
5424;D;Amey;Bologna;1;1.0;;1;1;0;0.0;0.0;0;0.0;0.0;1;0.0;0.0;0;0.0;0.0;0;0.0;0.0
2167;C;Orsolini;Bologna;19;4.6;Saelemaekers;4;91;32;6.16;7.09;26;6.04;6.81;34;5.97;6.74;37;5.92;6.69;35;6.19;7.03
5858;C;Ferguson;Bologna;18;4.0;;5;71;31;6.24;6.85;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
5564;C;Ndoye;Bologna;12;3.0;Karlsson;3;25;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
788;C;Freuler;Bologna;7;2.3;;5;15;0;0.0;0.0;29;5.93;5.83;34;6.3;6.52;31;6.05;6.23;35;6.16;6.33
6054;C;Moro N.;Bologna;7;2.7;Fabbian;4;12;25;6.04;6.3;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
5784;C;Aebischer;Bologna;6;2.0;;2;9;26;5.87;5.9;8;5.88;5.81;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6206;C;Fabbian;Bologna;6;3.0;Moro N.;3;18;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
4892;C;Saelemaekers;Bologna;4;2.3;Orsolini;3;7;29;5.91;6.17;34;6.01;6.16;32;5.94;6.14;13;6.0;6.08;0;0.0;0.0
5425;C;Urbanski;Bologna;2;1.0;;2;2;0;0.0;0.0;0;0.0;0.0;1;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6225;C;El Azzouzi;Bologna;1;1.0;;1;2;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
5086;A;Zirkzee;Bologna;13;3.0;;5;71;18;6.06;6.44;0;0.0;0.0;4;5.5;5.5;0;0.0;0.0;0;0.0;0.0
6459;A;Karlsson;Bologna;11;2.0;Ndoye;4;25;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
5446;A;Van Hooijdonk;Bologna;2;1.0;;3;5;0;0.0;0.0;1;6.0;6.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
3;P;Radunovic;Cagliari;8;2.0;;5;13;0;0.0;0.0;3;6.33;5.67;0;0.0;0.0;3;5.83;3.0;0;0.0;0.0
574;P;Scuffet;Cagliari;1;1.0;;1;1;0;0.0;0.0;0;0.0;0.0;1;5.0;3.0;0;0.0;0.0;9;6.11;4.67
1946;P;Aresti;Cagliari;1;1.0;;1;1;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
4461;D;Zappa;Cagliari;6;1.9;;5;14;0;0.0;0.0;21;5.74;5.64;34;5.85;5.94;0;0.0;0.0;0;0.0;0.0
6230;D;Dossena;Cagliari;6;2.0;;5;7;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6231;D;Azzi;Cagliari;6;2.0;Sulemana I.;3;10;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6464;D;Wieteska;Cagliari;6;2.0;Hatzidiakos;4;7;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
4421;D;Augello;Cagliari;5;2.8;;5;12;37;5.84;6.09;34;5.81;5.93;37;5.92;6.03;17;6.06;6.12;0;0.0;0.0
5701;D;Obert;Cagliari;5;1.0;;3;6;0;0.0;0.0;4;5.88;5.88;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
