Id,Role,Name,Squad,Price,MyRating,Mate,Regularness,FVM,Age,Pg22_23,Mv22_23,Mf22_23,Pg21_22,Mv21_22,Mf21_22,Pg20_21,Mv20_21,Mf20_21,Pg19_20,Mv19_20,Mf19_20,Pg18_19,Mv18_19,Mf18_19,ExpectedMf
4431,P,Carnesecchi,Atalanta,10,1.4,Musso,3,10,23,27,6.35,4.63,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4.71
2792,P,Musso,Atalanta,5,2.4,Carnesecchi,4,28,29,23,6.13,4.85,33,6.11,4.79,35,6.13,4.6,38,6.28,5.08,29,6.26,4.81,4.85
2297,P,Rossi F.,Atalanta,1,1.0,,1,1,28,0,0.0,0.0,1,6.0,5.0,0,0.0,0.0,1,6.0,5.0,1,0.0,0.0,4.81
554,D,Zappacosta,Atalanta,15,4.4,Holm,4,41,31,21,6.12,6.64,31,6.08,6.24,25,6.22,6.72,9,5.72,5.83,0,0.0,0.0,6.19
5067,D,Bakker,Atalanta,11,4.0,Ruggeri,4,23,23,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.05
5526,D,Scalvini,Atalanta,10,3.4,,5,30,20,32,5.95,6.03,14,5.96,6.14,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.24
5678,D,Holm,Atalanta,10,3.0,Zappacosta,3,20,26,18,6.06,6.17,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.18
2640,D,Kolasinac,Atalanta,9,4.0,,5,22,30,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.15
695,D,Toloi,Atalanta,8,3.0,Djimsiti,4,12,33,32,5.98,6.05,19,6.0,6.05,31,5.94,5.97,33,6.18,6.35,21,6.07,6.19,5.9
787,D,Djimsiti,Atalanta,8,2.7,Toloi,3,16,30,22,5.91,5.89,29,5.86,5.84,33,6.09,6.03,34,6.07,6.21,24,5.84,5.86,5.84
2181,D,Palomino,Atalanta,6,2.2,,3,8,33,14,5.82,5.75,33,6.14,6.09,36,5.97,6.05,30,5.97,6.05,30,6.05,6.07,5.89
2130,D,Hateboer,Atalanta,6,2.2,,3,10,29,17,5.88,5.91,21,5.79,5.74,22,6.16,6.41,32,5.88,5.85,35,6.06,6.57,6.13
4433,D,Zortea,Atalanta,5,2.1,,2,4,24,15,6.0,6.1,23,5.78,5.96,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.03
5354,D,Ruggeri,Atalanta,5,2.0,Bakker,3,10,21,10,5.85,5.8,13,5.85,5.81,6,5.5,5.5,0,0.0,0.0,0,0.0,0.0,5.82
6444,D,Bonfanti,Atalanta,1,1.0,,1,1,21,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5.78
5685,C,Koopmeiners,Atalanta,24,4.8,,5,112,25,33,6.36,7.14,28,6.3,6.62,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7.18
