Id,Role,Role_M,Name,Squad,Price,Age,MyRating,Mate,Regularness,FVM,Pg23_24,Mv23_24,Mf23_24,Pg22_23,Mv22_23,Mf22_23,Pg21_22,Mv21_22,Mf21_22,Pg20_21,Mv20_21,Mf20_21,Pg19_20,Mv19_20,Mf19_20,ExpectedMf
4431,P,Por,Carnesecchi,Atalanta,13,24,,,,55,27.0,6.19,5.3,27.0,6.35,4.63,,,,0.0,0.0,0.0,,,,5.19
2297,P,Por,Rossi F.,Atalanta,1,29,,,,1,1.0,6.5,6.5,0.0,0.0,0.0,1.0,6.0,5.0,0.0,0.0,0.0,1.0,6.0,5.0,4.87
4270,P,Por,Rui Patricio,Atalanta,1,36,,,,1,23.0,5.98,4.78,35.0,6.0,5.07,38.0,6.17,5.09,,,,,,,4.85
4887,D,E,Bellanova,Atalanta,13,24,,,,45,36.0,6.14,6.35,11.0,6.0,6.0,31.0,5.82,5.9,0.0,0.0,0.0,1.0,6.0,6.0,6.4
5354,D,E,Ruggeri,Atalanta,12,22,,,,42,33.0,5.97,6.08,10.0,5.85,5.8,13.0,5.85,5.81,3.0,5.5,5.5,,,,6.26
554,D,E,Zappacosta,Atalanta,10,32,,,,30,31.0,5.92,6.06,21.0,6.12,6.64,31.0,6.08,6.24,25.0,6.22,6.72,9.0,5.72,5.83,6.09
5578,D,Dd;Dc,Kossounou,Atalanta,10,23,,,,26,,,,,,,,,,,,,,,,6.0
787,D,Dc,Djimsiti,Atalanta,8,31,,,,18,36.0,5.94,5.92,22.0,5.91,5.89,29.0,5.86,5.84,33.0,6.09,6.03,34.0,6.07,6.21,5.96
2640,D,B;Ds;E,Kolasinac,Atalanta,8,31,,,,21,29.0,6.03,6.07,,,,,,,,,,,,,6.04
6046,D,Dc,Hien,Atalanta,8,25,,,,21,22.0,5.95,5.82,32.0,5.94,5.8,,,,,,,,,,5.93
5324,D,B;Dd;Ds,Godfrey,Atalanta,7,26,,,,15,,,,,,,,,,,,,,,,6.04
5526,D,Dc,Scalvini,Atalanta,7,21,,,,12,33.0,6.06,6.2,32.0,5.95,6.03,14.0,5.96,6.14,,,,,,,6.04
695,D,Dc,Toloi,Atalanta,4,34,,,,9,14.0,5.89,5.68,32.0,5.98,6.05,19.0,6.0,6.05,31.0,5.94,5.97,30.0,6.18,6.35,6.01
697,D,E,Cuadrado,Atalanta,4,36,,,,9,10.0,6.05,6.2,30.0,5.85,5.92,32.0,6.3,6.62,29.0,6.31,6.64,33.0,6.05,6.18,5.88
