id,role,role_m,name,squad,price,age,myrating,mate,regularness,fvm,expmf,expprice,expstd
2428,P,Por,Sommer,Inter,19,35.0,4.6,,,111,5.58,50,8
5876,P,Por,Di Gregorio,Juventus,18,27.0,4.5,,,100,5.43,45,7
572,P,Por,Meret,Napoli,15,27.0,4.1,,,72,5.1,32,6
4312,P,Por,Maignan,Milan,14,29.0,4.1,,,78,5.07,35,6
4431,P,Por,Carnesecchi,Atalanta,13,24.0,4.1,,,55,5.19,24,5
5841,P,Por,Svilar,Roma,13,25.0,4.0,,,69,5.04,31,5
2170,P,Por,Milinkovic-Savic V.,Torino,12,27.0,4.1,,,47,5.16,21,4
2814,P,Por,Provedel,Lazio,12,30.0,4.1,,,60,5.16,27,5
2815,P,Por,Terracciano,Fiorentina,12,34.0,3.9,,,20,5.13,8,3
133,P,Por,Skorupski,Bologna,11,33.0,4.2,,,53,5.25,24,5
610,P,Por,Gollini,Genoa,10,29.0,3.9,,,38,4.98,17,4
2521,P,Por,De Gea,Fiorentina,10,,,,,39,,17,4
574,P,Por,Scuffet,Cagliari,8,28.0,3.5,,,29,4.65,13,3
761,P,Por,Audero,Como,8,27.0,3.8,,,27,4.92,12,3
2134,P,Por,Falcone,Lecce,8,29.0,3.8,,,29,4.95,13,3
4867,P,Por,Turati,Monza,8,23.0,3.5,,,23,4.66,10,3
6462,P,Por,Okoye,Udinese,8,25.0,3.8,,,31,4.95,13,3
4425,P,Por,Joronen,Venezia,7,,,,,21,,9,3
4957,P,Por,Montipo',Verona,7,28.0,3.9,,,30,4.99,13,3
6641,P,Por,Suzuki,Parma,7,,,,,22,,9,3
6125,P,Por,Vasquez D.,Empoli,6,,,,,14,,6,2
6682,P,Por,Pizzignacco,Monza,3,,,,,15,,6,2
218,P,Por,Perin,Juventus,2,32.0,3.4,,,3,4.96,1,2
387,P,Por,Reina,Como,2,,,,,12,,5,2
4360,P,Por,Caprile,Napoli,2,23.0,3.5,,,4,5.0,1,2
5116,P,Por,Martinez Jo.,Inter,2,26.0,3.4,,,4,4.89,1,2
4,P,Por,Sportiello,Milan,1,32.0,3.2,,,1,4.95,1,2
188,P,Por,Leali,Genoa,1,31.0,3.2,,,1,4.92,1,2
216,P,Por,Donnarumma An.,Torino,1,,,,,1,,1,2
219,P,Por,Sommariva,Genoa,1,27.0,3.1,,,1,4.85,1,2
511,P,Por,Perilli,Verona,1,29.0,3.2,,,1,4.87,1,2
543,P,Por,Padelli,Udinese,1,39.0,3.6,,,1,5.34,1,2
673,P,Por,Perisan,Empoli,1,27.0,3.1,,,1,4.85,1,2
1926,P,Por,Di Gennaro,Inter,1,31.0,3.2,,,1,4.92,1,2
1930,P,Por,Pinsoglio,Juventus,1,34.0,3.3,,,1,5.03,1,2
2178,P,Por,Cragno,Monza,1,30.0,3.2,,,1,4.89,1,2
2297,P,Por,Rossi F.,Atalanta,1,29.0,3.2,,,1,4.87,1,2
2401,P,Por,Fruchtl,Lecce,1,,,,,1,,1,2
2722,P,Por,Ravaglia F.,Bologna,1,27.0,3.1,,,1,4.85,1,2
2809,P,Por,Vigorito,Como,1,,,,,1,,1,2
2845,P,Por,Contini,Napoli,1,28.0,3.2,,,1,4.86,1,2
4270,P,Por,Rui Patricio,Atalanta,1,36.0,3.1,,,1,4.85,1,2
4351,P,Por,Brancolini,Empoli,1,23.0,3.2,,,1,4.86,1,2
