Id,Role,Role_M,Name,Squad,Price,Age,MyRating,Mate,Regularness,FVM,ExpectedPrice,ExpectedPriceStd
2428,P,Por,Sommer,Inter,19,35.0,4.6,,,111,49,1
5876,P,Por,Di Gregorio,Juventus,18,27.0,4.5,,,100,44,1
572,P,Por,Meret,Napoli,15,27.0,4.1,,,72,32,1
4312,P,Por,Maignan,Milan,14,29.0,4.1,,,78,35,1
4431,P,Por,Carnesecchi,Atalanta,13,24.0,4.1,,,55,25,1
5841,P,Por,Svilar,Roma,13,25.0,4.0,,,69,31,1
2170,P,Por,Milinkovic-Savic V.,Torino,12,27.0,4.1,,,47,21,1
2814,P,Por,Provedel,Lazio,12,30.0,4.1,,,60,27,1
2815,P,Por,Terracciano,Fiorentina,12,34.0,3.9,,,20,9,1
133,P,Por,Skorupski,Bologna,11,33.0,4.2,,,53,24,1
610,P,Por,Gollini,Genoa,10,29.0,3.9,,,38,17,1
2521,P,Por,De Gea,Fiorentina,10,,,,,39,17,1
574,P,Por,Scuffet,Cagliari,8,28.0,3.5,,,29,13,1
761,P,Por,Audero,Como,8,27.0,3.8,,,27,12,1
2134,P,Por,Falcone,Lecce,8,29.0,3.8,,,29,13,1
4867,P,Por,Turati,Monza,8,23.0,3.5,,,23,10,1
6462,P,Por,Okoye,Udinese,8,25.0,3.8,,,31,14,1
4425,P,Por,Joronen,Venezia,7,,,,,21,10,1
4957,P,Por,Montipo',Verona,7,28.0,3.9,,,30,14,1
6641,P,Por,Suzuki,Parma,7,,,,,22,10,1
6125,P,Por,Vasquez D.,Empoli,6,,,,,14,6,1
6682,P,Por,Pizzignacco,Monza,3,,,,,15,7,1
218,P,Por,Perin,Juventus,2,32.0,3.4,,,3,2,1
387,P,Por,Reina,Como,2,,,,,12,6,1
4360,P,Por,Caprile,Napoli,2,23.0,3.5,,,4,2,1
5116,P,Por,Martinez Jo.,Inter,2,26.0,3.4,,,4,2,1
4,P,Por,Sportiello,Milan,1,32.0,3.2,,,1,1,1
188,P,Por,Leali,Genoa,1,31.0,3.2,,,1,1,1
216,P,Por,Donnarumma An.,Torino,1,,,,,1,1,1
219,P,Por,Sommariva,Genoa,1,27.0,3.1,,,1,1,1
511,P,Por,Perilli,Verona,1,29.0,3.2,,,1,1,1
543,P,Por,Padelli,Udinese,1,39.0,3.6,,,1,1,1
673,P,Por,Perisan,Empoli,1,27.0,3.1,,,1,1,1
1926,P,Por,Di Gennaro,Inter,1,31.0,3.2,,,1,1,1
1930,P,Por,Pinsoglio,Juventus,1,34.0,3.3,,,1,1,1
2178,P,Por,Cragno,Monza,1,30.0,3.2,,,1,1,1
2297,P,Por,Rossi F.,Atalanta,1,29.0,3.2,,,1,1,1
2401,P,Por,Fruchtl,Lecce,1,,,,,1,1,1
2722,P,Por,Ravaglia F.,Bologna,1,27.0,3.1,,,1,1,1
2809,P,Por,Vigorito,Como,1,,,,,1,1,1
2845,P,Por,Contini,Napoli,1,28.0,3.2,,,1,1,1
4270,P,Por,Rui Patricio,Atalanta,1,36.0,3.1,,,1,1,1
4351,P,Por,Brancolini,Empoli,1,23.0,3.2,,,1,1,1
4491,P,Por,Berardi A.,Verona,1,33.0,3.3,,,1,1,1
4929,P,Por,Ciocci,Cagliari,1,,,,,1,1,1
5320,P,Por,Paleari,Torino,1,,,,,1,1,1
5384,P,Por,Ryan,Roma,1,,,,,1,1,1
5521,P,Por,Bertinato,Venezia,1,,,,,1,1,1
5822,P,Por,Bagnolini,Bologna,1,20.0,3.2,,,1,1,1
6184,P,Por,Martinelli T.,Fiorentina,1,18.0,3.3,,,1,1,1
6248,P,Por,Stankovic F.,Venezia,1,,,,,1,1,1
6403,P,Por,Christensen O.,Fiorentina,1,25.0,3.1,,,1,1,1
6417,P,Por,Furlanetto,Lazio,1,,,,,1,1,1
6482,P,Por,Mandas,Lazio,1,23.0,3.2,,,1,1,1
6505,P,Por,Nava,Milan,1,,,,,1,1,1
6523,P,Por,Samooja,Lecce,1,,,,,1,1,1
6650,P,Por,Sherri,Cagliari,1,,,,,1,1,1
6661,P,Por,Chichizola,Parma,1,,,,,1,1,1
6662,P,Por,Corvi,Parma,1,,,,,1,1,1
6671,P,Por,Grandi,Venezia,1,,,,,1,1,1
6813,P,Por,Torriani,Milan,1,,,,,1,1,1
6824,P,Por,Marin Re.,Roma,1,,,,,1,1,1
6842,P,Por,Sava,Udinese,1,,,,,1,1,1
254,D,E,Dimarco,Inter,24,27.0,5.0,,,101,76,1
4292,D,Ds;E,Hernandez T.,Milan,20,27.0,4.5,,,80,60,1
2816,D,B;Dd;E,Di Lorenzo,Napoli,18,31.0,4.3,,,72,54,1
2120,D,Dc,Bastoni,Inter,16,25.0,4.4,,,50,37,1
2724,D,Dc,Buongiorno,Napoli,16,25.0,4.5,,,57,42,1
2788,D,Dc,Bremer,Juventus,16,27.0,4.4,,,57,42,1
5513,D,E,Dumfries,Inter,16,28.0,4.3,,,45,33,1
4177,D,Dd;Dc,Pavard,Inter,14,28.0,4.0,,,40,30,1
1852,D,E,Spinazzola,Napoli,13,31.0,4.1,,,41,30,1
2160,D,E,Gosens,Fiorentina,13,,,,,41,30,1
4237,D,B;Dd;Ds,Danilo,Juventus,13,33.0,3.8,,,29,21,1
4751,D,Dc,Tomori,Milan,13,27.0,4.2,,,41,30,1
4887,D,E,Bellanova,Atalanta,13,24.0,4.3,,,45,33,1
5354,D,E,Ruggeri,Atalanta,12,22.0,4.1,,,42,31,1
2296,D,Dc,Mancini,Roma,11,28.0,3.9,,,26,19,1
4409,D,Dc,Rrahmani,Napoli,11,30.0,3.8,,,26,19,1
4816,D,B;Dd;Ds,Emerson Royal,Milan,11,,,,,39,29,1
460,D,Dc,Romagnoli,Lazio,10,29.0,3.6,,,26,19,1
513,D,Dc,Acerbi,Inter,10,36.0,4.1,,,28,21,1
554,D,E,Zappacosta,Atalanta,10,32.0,3.8,,,30,22,1
5022,D,Dc,Pavlovic,Milan,10,,,,,29,21,1
5323,D,Dc,Martinez Quarta,Fiorentina,10,28.0,4.1,,,32,24,1
5520,D,Dd;Ds;E,Cambiaso,Juventus,10,24.0,3.9,,,35,26,1
5578,D,Dd;Dc,Kossounou,Atalanta,10,,,,,26,19,1
393,D,Dc,Luperto,Cagliari,9,28.0,3.5,,,14,10,1
2525,D,B;Dd;E,Darmian,Inter,9,35.0,3.8,,,21,15,1
4284,D,E;M,Sergi Roberto,Como,9,,,,,18,13,1
4772,D,Ds;E,Angelino,Roma,9,,,,,27,20,1
5514,D,Ds;Dc,Vasquez,Genoa,9,26.0,3.6,,,16,12,1
5847,D,Dc,Bijol,Udinese,9,25.0,3.6,,,20,15,1
5877,D,E,Carlos Augusto,Inter,9,25.0,3.8,,,20,15,1
5885,D,Dd;E,Dodo',Fiorentina,9,26.0,3.7,,,25,18,1
252,D,B;Ds;E,Biraghi,Fiorentina,8,32.0,3.8,,,30,22,1
787,D,Dc,Djimsiti,Atalanta,8,31.0,3.5,,,18,13,1
2602,D,Dc,Varane,Como,8,,,,,15,11,1
2640,D,B;Ds;E,Kolasinac,Atalanta,8,31.0,3.7,,,21,15,1
4210,D,Dc,Mina,Cagliari,8,30.0,3.5,,,13,9,1
4317,D,Dc,N'Dicka,Roma,8,25.0,3.5,,,20,15,1
4734,D,Ds;E,Miranda J.,Bologna,8,,,,,16,12,1
5449,D,Ds;E,Parisi,Fiorentina,8,24.0,3.4,,,20,15,1
5498,D,Dc,Casale,Bologna,8,26.0,3.2,,,15,11,1
5603,D,Dc,Pongracic,Fiorentina,8,27.0,3.5,,,20,15,1
5678,D,Dd;E,Holm,Bologna,8,27.0,3.7,,,24,18,1
5831,D,Dc,Gatti,Juventus,8,26.0,3.6,,,16,12,1
5835,D,Dd;Dc,Baschirotto,Lecce,8,28.0,3.4,,,20,15,1
5899,D,Dc,Gigot,Lazio,8,,,,,19,14,1
6046,D,Dc,Hien,Atalanta,8,25.0,3.5,,,21,15,1
6066,D,Dd;Dc,Posch,Bologna,8,27.0,3.6,,,18,13,1
6230,D,Dc,Dossena,Como,8,26.0,3.4,,,14,10,1
6257,D,Ds;E,Dorgu,Lecce,8,20.0,3.6,,,20,15,1
6642,D,Dc,Coco,Torino,8,,,,,22,16,1
322,D,Dc,De Vrij,Inter,7,32.0,3.8,,,18,13,1
791,D,Dd;Ds;E,Sabelli,Genoa,7,31.0,3.1,,,8,6,1
2285,D,Dc,Bani,Genoa,7,31.0,3.5,,,14,10,1
4245,D,Dc,Smalling,Roma,7,35.0,3.5,,,12,9,1
4378,D,Ds;Dc,Ranieri L.,Fiorentina,7,25.0,3.4,,,15,11,1
4530,D,Ds;E,Kyriakopoulos,Monza,7,28.0,3.4,,,13,9,1
4665,D,Dc,Maripan,Torino,7,,,,,15,11,1
4904,D,Dc,Mari',Monza,7,31.0,3.4,,,15,11,1
4982,D,Dc,Erlic,Bologna,7,26.0,3.4,,,17,12,1
4994,D,B;Dd;E,Vojvoda,Torino,7,29.0,3.4,,,12,9,1
5010,D,Dc,Ismajli,Empoli,7,28.0,3.1,,,9,6,1
5324,D,B;Dd;Ds,Godfrey,Atalanta,7,,,,,15,11,1
5526,D,Dc,Scalvini,Atalanta,7,21.0,3.5,,,12,9,1
5527,D,Dd;E,Zanoli,Genoa,7,24.0,3.2,,,9,6,1
5840,D,B;Ds;E,Olivera,Napoli,7,27.0,3.5,,,18,13,1
5862,D,Ds;E,Valeri,Parma,7,,,,,11,8,1
6202,D,Dc,Beukema,Bologna,7,26.0,3.5,,,16,12,1
6638,D,Dc,Marin R.,Napoli,7,,,,,18,13,1
6820,D,E,Sosa B.,Torino,7,,,,,17,12,1
49,D,B;Ds;E,Masina,Torino,6,30.0,3.5,,,12,9,1
226,D,Dc,Izzo,Monza,6,32.0,3.2,,,11,8,1
357,D,Dd;E,Calabria,Milan,6,28.0,3.4,,,13,9,1
770,D,Ds;E,Pezzella Giu.,Empoli,6,27.0,3.3,,,7,5,1
2188,D,Dd;Ds;E,Marusic,Lazio,6,32.0,3.1,,,10,7,1
2263,D,Dd;E,Lazzari,Lazio,6,31.0,3.3,,,12,9,1
4433,D,Dd;Ds;E,Zortea,Cagliari,6,25.0,3.8,,,16,12,1
4461,D,B;Dd;E,Zappa,Cagliari,6,24.0,3.3,,,10,7,1
5435,D,Ds;E,Moreno Alb.,Como,6,,,,,17,12,1
5620,D,Ds;E,Tavares N.,Lazio,6,,,,,10,7,1
5718,D,Dc,Viti,Empoli,6,22.0,3.1,,,6,4,1
5739,D,Dd;Dc,De Winter,Genoa,6,22.0,3.2,,,8,6,1
6039,D,B;Ds;E,Cabal,Juventus,6,23.0,3.3,,,15,11,1
6041,D,Dc,Schuurs,Torino,6,25.0,3.3,,,10,7,1
6042,D,Dc,Lucumi',Bologna,6,26.0,3.5,,,14,10,1
6047,D,Dd;E,Ehizibue,Udinese,6,29.0,3.1,,,8,6,1
6426,D,E,Pedersen,Torino,6,24.0,3.3,,,12,9,1
