Id,Role,Role_M,Name,Squad,Price,Age,MyRating,Mate,Regularness,FVM,Pg22_23,Mv22_23,Mf22_23,Pg21_22,Mv21_22,Mf21_22,Pg23_24,Mv23_24,Mf23_24,Pg19_20,Mv19_20,Mf19_20,Pg20_21,Mv20_21,Mf20_21,ExpectedMf
2428,P,Por,Sommer,Inter,19,35.0,4.6,,,111,,,,,,,34.0,6.12,5.63,,,,,,,5.58
5876,P,Por,Di Gregorio,Juventus,18,27.0,4.5,,,100,37.0,6.28,4.99,,,,33.0,6.35,5.47,,,,,,,5.43
572,P,Por,Meret,Napoli,15,27.0,4.1,,,72,34.0,6.18,5.56,7.0,5.86,5.0,31.0,6.06,4.97,22.0,6.16,4.8,22.0,6.2,4.89,5.1
4312,P,Por,Maignan,Milan,14,29.0,4.1,,,78,22.0,6.16,5.34,32.0,6.27,5.62,29.0,6.05,4.86,,,,,,,5.07
4431,P,Por,Carnesecchi,Atalanta,13,24.0,4.1,,,55,27.0,6.35,4.63,,,,27.0,6.19,5.3,,,,0.0,0.0,0.0,5.19
5841,P,Por,Svilar,Roma,13,25.0,4.0,,,69,3.0,6.0,4.83,,,,15.0,6.47,5.37,,,,,,,5.04
2170,P,Por,Milinkovic-Savic V.,Torino,12,27.0,4.1,,,47,38.0,6.03,4.89,27.0,6.02,4.85,36.0,6.12,5.24,,,,5.0,5.8,4.6,5.16
2814,P,Por,Provedel,Lazio,12,30.0,4.1,,,60,38.0,6.26,5.46,31.0,6.26,4.48,30.0,6.23,5.13,,,,29.0,6.05,4.24,5.16
2815,P,Por,Terracciano,Fiorentina,12,34.0,3.9,,,20,29.0,6.0,4.78,32.0,5.97,4.72,33.0,6.27,5.26,7.0,6.36,5.64,4.0,6.25,6.0,5.13
133,P,Por,Skorupski,Bologna,11,33.0,4.2,,,53,37.0,6.19,4.97,36.0,6.24,4.79,32.0,6.17,5.33,37.0,5.99,4.31,28.0,6.09,4.64,5.25
610,P,Por,Gollini,Genoa,10,29.0,3.9,,,38,7.0,6.07,5.21,,,,7.0,6.0,4.86,33.0,6.15,4.83,25.0,6.1,5.26,4.98
2521,P,Por,De Gea,Fiorentina,10,,,,,39,,,,,,,,,,,,,,,,
574,P,Por,Scuffet,Cagliari,8,28.0,3.5,,,29,,,,0.0,0.0,0.0,31.0,6.13,4.31,0.0,0.0,0.0,1.0,5.0,3.0,4.65
761,P,Por,Audero,Como,8,27.0,3.8,,,27,25.0,6.3,4.88,29.0,6.12,4.53,4.0,6.0,5.25,36.0,6.03,4.29,37.0,6.38,5.11,4.92
2134,P,Por,Falcone,Lecce,8,29.0,3.8,,,29,38.0,6.25,5.09,10.0,6.45,4.95,38.0,6.25,4.91,2.0,6.0,3.25,,,,4.95
4867,P,Por,Turati,Monza,8,23.0,3.5,,,23,,,,0.0,0.0,0.0,31.0,6.19,4.42,2.0,6.25,4.25,0.0,0.0,0.0,4.66
6462,P,Por,Okoye,Udinese,8,25.0,3.8,,,31,,,,,,,21.0,6.17,4.93,,,,,,,4.95
4425,P,Por,Joronen,Venezia,7,,,,,21,,,,,,,,,,29.0,6.29,4.34,,,,
4957,P,Por,Montipo',Verona,7,28.0,3.9,,,30,37.0,6.19,4.66,34.0,6.09,4.69,37.0,6.31,4.99,,,,37.0,5.99,3.97,4.99
6641,P,Por,Suzuki,Parma,7,,,,,22,,,,,,,,,,,,,,,,
6125,P,Por,Vasquez D.,Empoli,6,,,,,14,0.0,0.0,0.0,,,,,,,,,,,,,
6682,P,Por,Pizzignacco,Monza,3,,,,,15,,,,,,,,,,,,,,,,
218,P,Por,Perin,Juventus,2,32.0,3.4,,,3,11.0,6.41,6.05,5.0,6.1,4.7,3.0,6.0,5.67,21.0,6.12,4.29,32.0,6.25,4.83,4.96
387,P,Por,Reina,Como,2,,,,,12,,,,15.0,5.97,4.0,,,,1.0,6.5,8.5,29.0,6.12,4.69,
4360,P,Por,Caprile,Napoli,2,23.0,3.5,,,4,,,,,,,23.0,6.26,5.22,,,,,,,5.0
5116,P,Por,Martinez Jo.,Inter,2,26.0,3.4,,,4,,,,,,,36.0,6.14,4.97,,,,,,,4.89
4,P,Por,Sportiello,Milan,1,32.0,3.2,,,1,15.0,6.13,4.73,5.0,6.3,5.3,7.0,6.14,4.57,6.0,6.17,5.33,15.0,6.23,5.03,4.95
188,P,Por,Leali,Genoa,1,31.0,3.2,,,1,,,,,,,2.0,6.5,5.25,,,,,,,4.92
216,P,Por,Donnarumma An.,Torino,1,,,,,1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
219,P,Por,Sommariva,Genoa,1,27.0,3.1,,,1,,,,,,,0.0,0.0,0.0,,,,,,,4.85
511,P,Por,Perilli,Verona,1,29.0,3.2,,,1,1.0,6.5,6.5,,,,1.0,7.5,5.5,,,,,,,4.87
