Id,Role,Role_M,Name,Squad,Price,Age,Mate,Regularness,MyRating,FVM,Pg24_25,Mv24_25,Mf24_25,Pg23_24,Mv23_24,Mf23_24,Pg22_23,Mv22_23,Mf22_23,Pg21_22,Mv21_22,Mf21_22,Pg20_21,Mv20_21,Mf20_21,Pg19_20,Mv19_20,Mf19_20,FVM24_25,FVM23_24,FVM22_23,FVM21_22,FVM20_21,FVM19_20,FVM18_19,ExpectedMf
4431,P,Por,Carnesecchi,Atalanta,18,25,,,4.1,80,34.0,6.34,5.32,27.0,6.19,5.3,27.0,6.35,4.63,,,,0.0,0.0,0.0,,,,55.0,65.0,13.0,,,,,5.31
2170,P,Por,Milinkovic-Savic V.,Napoli,17,28,,,3.7,37,37.0,6.3,5.45,36.0,6.12,5.24,38.0,6.03,4.89,27.0,6.02,4.85,5.0,5.8,4.6,,,,47.0,65.0,32.0,0.0,0.0,,,5.09
5841,P,Por,Svilar,Roma,17,26,,,4.3,105,38.0,6.32,5.38,15.0,6.47,5.37,3.0,6.0,4.83,,,,,,,,,,69.0,70.0,1.0,,,,,5.44
6966,P,Por,Butez,Como,16,30,,,4.1,95,18.0,6.22,5.22,,,,,,,,,,,,,,,,,,,,,,,5.36
4312,P,Por,Maignan,Milan,16,30,,,4.1,88,37.0,6.18,5.14,29.0,6.05,4.86,22.0,6.16,5.34,32.0,6.27,5.62,,,,,,,78.0,75.0,62.0,0.0,,,,5.31
5876,P,Por,Di Gregorio,Juventus,15,28,,,3.5,30,33.0,6.15,5.18,33.0,6.35,5.47,37.0,6.28,4.99,,,,,,,,,,100.0,80.0,40.0,,,,,4.98
2134,P,Por,Falcone,Lecce,15,30,,,3.5,35,38.0,6.26,4.79,38.0,6.25,4.91,38.0,6.25,5.09,10.0,6.45,4.95,,,,2.0,6.0,3.25,29.0,25.0,32.0,0.0,,0.0,,4.94
6462,P,Por,Okoye,Udinese,14,26,,,3.0,14,25.0,6.1,4.4,21.0,6.17,4.93,,,,,,,,,,,,,31.0,20.0,,,,,,4.67
2428,P,Por,Sommer,Inter,13,36,,,3.9,60,33.0,6.18,5.3,34.0,6.12,5.63,,,,,,,,,,,,,111.0,120.0,,,,,,5.21
4360,P,Por,Caprile,Cagliari,12,24,,,3.4,20,22.0,6.2,5.16,23.0,6.26,5.22,,,,,,,,,,,,,4.0,25.0,,,,,,4.89
761,P,Por,Audero,Cremonese,12,28,,,3.2,11,8.0,6.0,3.75,4.0,6.0,5.25,25.0,6.3,4.88,29.0,6.12,4.53,37.0,6.38,5.11,36.0,6.03,4.29,27.0,1.0,5.0,0.0,0.0,0.0,0.0,4.74
2521,P,Por,De Gea,Fiorentina,12,34,,,3.6,28,35.0,6.34,5.41,,,,,,,,,,,,,,,,39.0,,,,,,,5.01
4957,P,Por,Montipò,Verona,12,29,,,2.9,5,36.0,6.19,4.44,37.0,6.31,4.99,37.0,6.19,4.66,34.0,6.09,4.69,37.0,5.99,3.97,,,,30.0,20.0,19.0,0.0,0.0,,,4.55
133,P,Por,Skorupski,Bologna,11,34,,,3.3,14,27.0,6.17,5.04,32.0,6.17,5.33,37.0,6.19,4.97,36.0,6.24,4.79,28.0,6.09,4.64,37.0,5.99,4.31,53.0,65.0,32.0,0.0,0.0,0.0,0.0,4.8
2814,P,Por,Provedel,Lazio,11,31,,,3.1,15,29.0,5.98,4.53,30.0,6.23,5.13,38.0,6.26,5.46,31.0,6.26,4.48,29.0,6.05,4.24,,,,60.0,55.0,78.0,0.0,0.0,,0.0,4.71
6641,P,Por,Suzuki,Parma,11,23,,,3.0,8,37.0,6.22,4.76,,,,,,,,,,,,,,,,22.0,,,,,,,4.66
4236,P,Por,Muric,Sassuolo,10,26,,,3.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,4.65
7332,P,Por,Bijlow,Genoa,10,27,,,3.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,4.72
188,P,Por,Leali,Genoa,9,32,,,2.9,1,29.0,6.16,5.1,2.0,6.5,5.25,,,,,,,,,,,,,1.0,1.0,,,,,,4.57
6662,P,Por,Corvi,Parma,9,24,,,3.0,5,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,,,,,,,4.62
5320,P,Por,Paleari,Torino,9,33,,,3.2,9,1.0,6.5,3.5,,,,,,,,,,3.0,6.17,5.17,,,,1.0,,,,0.0,,,4.76
218,P,Por,Perin,Juventus,8,32,,,3.2,10,5.0,6.1,5.5,3.0,6.0,5.67,11.0,6.41,6.05,5.0,6.1,4.7,32.0,6.25,4.83,21.0,6.12,4.29,3.0,2.0,4.0,0.0,0.0,0.0,0.0,4.76
572,P,Por,Meret,Napoli,8,28,,,3.6,20,34.0,6.32,5.71,31.0,6.06,4.97,34.0,6.18,5.56,7.0,5.86,5.0,22.0,6.2,4.89,22.0,6.16,4.8,72.0,55.0,71.0,0.0,0.0,0.0,0.0,5.0
4867,P,Por,Turati,Sassuolo,8,23,,,3.0,5,30.0,6.3,4.75,31.0,6.19,4.42,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.25,4.25,23.0,12.0,,,0.0,0.0,,4.61
2861,P,Por,Semper,Pisa,7,27,,,2.9,3,,,,,,,,,,1.0,6.5,5.5,,,,,,,,,,0.0,,,0.0,4.59
7172,P,Por,Pessina Mas.,Bologna,6,17,,,2.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,4.56
5116,P,Por,Martinez Jo.,Inter,5,27,,,2.8,1,5.0,6.3,5.7,36.0,6.14,4.97,,,,,,,,,,,,,4.0,40.0,,,,,,4.53
7337,P,Por,Motta,Lazio,5,20,,,3.2,15,,,,,,,,,,,,,,,,,,,,,,,,,,4.76
