Id,Name,DOB
4431,Carnesecchi,2000-07-01
2170,Milinkovic-Savic V.,1997-02-20
5841,Svilar,1999-08-27
6966,Butez,1995-06-08
4312,Maignan,1995-07-03
5876,Di Gregorio,1997-07-27
2134,Falcone,1995-04-12
6462,Okoye,1999-08-28
2428,Sommer,1988-12-17
4360,Caprile,2001-08-25
761,Audero,1997-01-18
2521,De Gea,1990-11-07
4957,Montipò,1996-02-20
133,Skorupski,1991-05-05
2814,Provedel,1994-03-17
6641,Suzuki,2002-08-21
4236,Muric,1998-11-07
7332,Bijlow,1998-01-22
188,Leali,1993-02-17
6662,Corvi,2001-03-23
5320,Paleari,1992-08-29
218,Perin,1992-11-10
572,Meret,1997-03-22
4867,Turati,2001-09-05
2861,Semper,1998-01-12
7172,Pessina Mas.,2007-12-25
5116,Martinez Jo.,1998-05-27
7337,Motta,2005-01-13
2722,Ravaglia F.,1999-11-11
6417,Furlanetto,2002-02-08
6403,Christensen O.,1999-03-22
2297,Rossi F.,1991-04-27
4,Sportiello,1992-05-10
4929,Ciocci,2002-01-24
2809,Vigorito,1990-05-22
6505,Nava,2004-01-20
6991,Siegrist,1992-01-31
219,Sommariva,1997-07-18
1926,Di Gennaro,1993-10-03
1930,Pinsoglio,1990-03-16
2401,Fruchtl,2000-01-28
6523,Samooja,2003-07-21
2815,Terracciano,1990-03-08
6813,Torriani,2005-01-31
2845,Contini,1996-05-21
5338,Rinaldi,2002-12-04
2271,Nicolas,1988-04-12
574,Scuffet,1996-05-31
7169,Zelezny,2006-09-06
610,Gollini,1995-03-18
2127,Satalino,1999-05-20
7179,Israel,2000-04-22
543,Padelli,1985-10-25
6842,Sava,2002-06-21
511,Perilli,1995-01-07
7185,Nunziante,2007-03-14
158,Lezzerini,1995-03-24
2211,Silvestri,1991-03-02
7236,Toniolo,2004-03-29
7261,Cavlina,2002-06-02
7285,Ferrante,2006-02-02
7042,Calligaris,2005-03-07
7301,Tornqvist,2006-03-03
6650,Sherri,1997-04-16
7363,Siviero,2006-11-23
7382,Pannozzo,2008-03-25
7383,Giacomone,2008-06-17
254,Dimarco,1997-11-10
2788,Bremer,1997-03-18
5022,Pavlovic,2001-05-24
6832,Palestra,2005-03-03
6893,Kempf,1995-01-28
1852,Spinazzola,1993-03-25
5526,Scalvini,2003-12-11
6217,Bisseck,2000-11-29
2296,Mancini,1996-04-17
5750,Ostigard,1999-04-09
4976,Kalulu,2000-06-05
4657,Celik,1997-02-17
7181,Wesley,2003-09-06
6956,Solet,2000-01-26
2120,Bastoni,1999-04-13
4807,Hermoso,1995-01-26
6986,Rensch,2003-01-18
4159,Akanji,1995-07-19
554,Zappacosta,1992-06-11
5513,Dumfries,1996-04-18
4317,N'Dicka,1999-08-20
2160,Gosens,1994-07-05
5514,Vasquez,1998-10-22
6766,Kelly L.,1998-10-06
4409,Rrahmani,1994-02-24
5862,Valeri,1998-08-21
6485,Kristensen T.,2002-02-19
7211,Athekame,2004-12-29
5678,Holm,2000-04-21
4734,Miranda J.,2000-01-19
4994,Vojvoda,1995-02-01
6867,Valle,2004-04-25
5885,Dodò,1998-11-17
2593,Martin,1997-03-09
5877,Carlos Augusto,1999-01-07
6989,Tiago Gabriel,2004-03-09
4502,Gallo,1997-01-05
6496,Bartesaghi,2005-12-29
6202,Beukema,1998-07-11
2816,Di Lorenzo,1993-08-04
6664,Delprato,2001-11-10
4263,Kabasele,1991-07-28
6869,Ramon,2005-05-12
7220,Belghali,1999-08-21
5427,Gutierrez,2001-03-20
7329,Obrador,2004-05-26
4210,Mina,1994-09-23
5435,Moreno Alb.,1992-04-23
5520,Cambiaso,2000-02-20
5835,Baschirotto,1995-09-08
7143,Angori,2003-04-29
6642,Coco,1999-04-15
7219,Bernasconi,2003-09-19
393,Luperto,1996-02-15
4433,Zortea,1998-03-03
5833,Gila,2000-08-29
460,Romagnoli,1995-01-12
2188,Marusic,1992-10-17
4751,Tomori,1997-12-19
2724,Buongiorno,1999-06-06
6663,Circati,2003-10-10
7155,Muharemovic,2003-06-04
4665,Maripan,1993-05-06
