Id,Role,Name,Squad,Price,MyRating,Mate,Regularness,FVM,ExpectedPrice
4431,P,Carnesecchi,Atalanta,10,1.4,Musso,3,10,3
2792,P,Musso,Atalanta,5,2.4,Carnesecchi,4,28,17
2297,P,Rossi F.,Atalanta,1,1.0,,1,1,1
554,D,Zappacosta,Atalanta,15,4.4,Holm,4,41,28
5067,D,Bakker,Atalanta,11,4.0,Ruggeri,4,23,13
5526,D,Scalvini,Atalanta,10,3.4,,5,30,18
5678,D,Holm,Atalanta,10,3.0,Zappacosta,3,20,12
2640,D,Kolasinac,Atalanta,9,4.0,,5,22,11
695,D,Toloi,Atalanta,8,3.0,Djimsiti,4,12,4
787,D,Djimsiti,Atalanta,8,2.7,Toloi,3,16,8
2181,D,Palomino,Atalanta,6,2.2,,3,8,2
2130,D,Hateboer,Atalanta,6,2.2,,3,10,3
4433,D,Zortea,Atalanta,5,2.1,,2,4,1
5354,D,Ruggeri,Atalanta,5,2.0,Bakker,3,10,3
6444,D,Bonfanti,Atalanta,1,1.0,,1,1,1
5685,C,Koopmeiners,Atalanta,24,4.8,,5,112,70
2077,C,Pasalic,Atalanta,13,4.0,Ederson D.s.,3,30,12
5792,C,Ederson D.s.,Atalanta,12,2.8,Pasalic,4,20,5
22,C,De Roon,Atalanta,11,3.0,,5,18,4
5001,C,Miranchuk,Atalanta,9,3.4,,3,8,1
5995,C,De Ketelaere,Atalanta,9,2.0,Lookman,3,41,25
4870,C,Adopo,Atalanta,3,1.0,,1,4,1
2137,A,Scamacca,Atalanta,27,4.0,Muriel,4,220,138
4730,A,Lookman,Atalanta,24,4.6,De Ketelaere,4,155,87
6229,A,Toure' E.,Atalanta,15,3.0,,2,45,9
507,A,Muriel,Atalanta,13,3.1,Scamacca,3,38,7
133,P,Skorupski,Bologna,10,2.7,,5,32,17
2722,P,Ravaglia F.,Bologna,1,1.0,,2,1,1
5822,P,Bagnolini,Bologna,1,1.0,,1,1,1
6066,D,Posch,Bologna,15,5.0,,5,46,32
6042,D,Lucumi',Bologna,7,1.7,,4,16,7
6148,D,Kristiansen,Bologna,7,4.0,,4,22,12
6202,D,Beukema,Bologna,6,4.0,,5,22,11
2653,D,Lykogiannis,Bologna,5,2.4,,3,8,2
4945,D,Calafiori,Bologna,4,2.0,,2,7,2
4891,D,Soumaoro,Bologna,3,1.4,,2,5,1
2192,D,Bonifazi,Bologna,2,1.2,,2,3,1
6407,D,Corazza,Bologna,2,1.0,,1,1,1
487,D,De Silvestri,Bologna,1,1.8,,1,3,1
5424,D,Amey,Bologna,1,1.0,,1,1,1
2167,C,Orsolini,Bologna,19,4.6,Saelemaekers,4,91,57
5858,C,Ferguson,Bologna,18,4.0,,5,71,42
5564,C,Ndoye,Bologna,12,3.0,Karlsson,3,25,9
788,C,Freuler,Bologna,7,2.3,,5,15,5
6054,C,Moro N.,Bologna,7,2.7,Fabbian,4,12,2
5784,C,Aebischer,Bologna,6,2.0,,2,9,1
6206,C,Fabbian,Bologna,6,3.0,Moro N.,3,18,8
4892,C,Saelemaekers,Bologna,4,2.3,Orsolini,3,7,1
5425,C,Urbanski,Bologna,2,1.0,,2,2,1
6225,C,El Azzouzi,Bologna,1,1.0,,1,2,1
5086,A,Zirkzee,Bologna,13,3.0,,5,71,37
6459,A,Karlsson,Bologna,11,2.0,Ndoye,4,25,1
5446,A,Van Hooijdonk,Bologna,2,1.0,,3,5,3
3,P,Radunovic,Cagliari,8,2.0,,5,13,1
574,P,Scuffet,Cagliari,1,1.0,,1,1,1
1946,P,Aresti,Cagliari,1,1.0,,1,1,1
4461,D,Zappa,Cagliari,6,1.9,,5,14,5
6230,D,Dossena,Cagliari,6,2.0,,5,7,1
6231,D,Azzi,Cagliari,6,2.0,Sulemana I.,3,10,3
6464,D,Wieteska,Cagliari,6,2.0,Hatzidiakos,4,7,1
4421,D,Augello,Cagliari,5,2.8,,5,12,3
5701,D,Obert,Cagliari,5,1.0,,3,6,1
6438,D,Hatzidiakos,Cagliari,5,2.0,Wieteska,3,7,1
418,D,Goldaniga,Cagliari,3,1.0,,2,3,1
5406,D,Di Pardo,Cagliari,3,1.0,,2,3,1
454,D,Capradossi,Cagliari,1,1.0,,1,1,1
1987,C,Jankto,Cagliari,8,2.8,,5,15,4
4514,C,Nandez,Cagliari,8,2.7,,5,21,9
65,C,Mancosu,Cagliari,6,3.6,,3,6,1
6218,C,Oristanio,Cagliari,5,2.0,Luvumbo,4,12,4
6232,C,Makoumbou,Cagliari,5,2.0,,5,8,1
1871,C,Deiola,Cagliari,4,1.6,,3,5,1
6024,C,Sulemana I.,Cagliari,3,1.0,Azzi,4,4,1
2076,C,Rog,Cagliari,1,1.4,,1,1,1
440,C,Viola,Cagliari,1,3.6,,3,4,1
6424,C,Prati,Cagliari,1,1.0,,1,4,1
1939,A,Lapadula,Cagliari,14,2.9,,4,38,6
383,A,Petagna,Cagliari,12,2.8,Pavoletti,4,32,5
5311,A,Shomurodov,Cagliari,12,2.1,Luvumbo,4,22,1
5297,A,Luvumbo,Cagliari,9,1.0,Shomurodov,3,9,1
247,A,Pavoletti,Cagliari,4,2.1,Petagna,3,6,1
4360,P,Caprile,Empoli,6,2.0,Berisha,4,10,1
316,P,Berisha,Empoli,3,1.0,Caprile,3,5,1
673,P,Perisan,Empoli,1,1.0,,1,1,1
6234,P,Stubljar,Empoli,1,1.0,,1,1,1
5480,D,Ebuehi,Empoli,10,3.0,Bereszynski,4,17,8
5332,D,Bastoni S.,Empoli,8,4.3,Maleh,4,32,21
393,D,Luperto,Empoli,7,1.9,,5,10,1
770,D,Pezzella Giu.,Empoli,5,1.8,Cacace,4,5,1
5010,D,Ismajli,Empoli,5,1.8,,5,9,1
2104,D,Bereszynski,Empoli,3,1.1,Ebuehi,3,4,1
4374,D,Walukiewicz,Empoli,2,1.0,,2,4,1
5804,D,Cacace,Empoli,2,2.0,Pezzella Giu.,3,8,2
144,D,Tonelli,Empoli,1,1.2,,2,2,1
6056,D,Guarino,Empoli,1,1.0,,1,2,1
5823,C,Baldanzi,Empoli,14,4.0,,5,39,19
4965,C,Marin,Empoli,8,2.4,,5,14,3
4992,C,Gyasi,Empoli,7,2.1,,3,8,1
27,C,Grassi,Empoli,5,1.1,Fazzini,3,6,1
6010,C,Fazzini,Empoli,5,1.4,Grassi,4,10,2
4896,C,Maldini,Empoli,4,3.3,,3,9,2
5397,C,Kovalenko,Empoli,4,1.4,,3,7,1
5457,C,Maleh,Empoli,4,1.4,Bastoni S.,3,4,1
5884,C,Ranocchia F.,Empoli,4,3.0,,2,6,1
6203,C,Belardinelli,Empoli,1,1.0,,1,3,1
2819,A,Caputo,Empoli,14,3.5,,5,52,18
4436,A,Cambiaghi,Empoli,12,3.3,,5,28,1
5500,A,Cancellieri,Empoli,5,1.0,,3,8,1
472,A,Destro,Empoli,2,2.6,,2,1,1
6395,A,Shpendi S.,Empoli,2,1.0,,1,1,1
6011,A,Ekong,Empoli,1,1.0,,1,1,2
2815,P,Terracciano,Fiorentina,10,2.0,Christensen O.,4,14,3
6403,P,Christensen O.,Fiorentina,2,2.0,Terracciano,3,16,9
6184,P,Martinelli T.,Fiorentina,1,1.0,,1,1,1
252,D,Biraghi,Fiorentina,11,3.7,Parisi,4,24,14
2164,D,Milenkovic,Fiorentina,10,3.1,,5,26,15
5449,D,Parisi,Fiorentina,7,2.8,Biraghi,3,20,12
5885,D,Dodo',Fiorentina,7,2.7,,5,22,11
4210,D,Mina,Fiorentina,7,3.0,Ranieri L.,4,12,4
4378,D,Ranieri L.,Fiorentina,5,1.7,Mina,3,12,5
5323,D,Martinez Quarta,Fiorentina,5,1.8,,2,7,2
6235,D,Kayode,Fiorentina,2,2.0,,2,8,3
6432,D,Pierozzi,Fiorentina,1,1.0,,1,2,1
367,C,Bonaventura,Fiorentina,15,3.9,,5,39,18
4658,C,Ikone',Fiorentina,12,3.4,,5,18,3
2172,C,Barak,Fiorentina,11,2.9,,3,14,1
1933,C,Mandragora,Fiorentina,10,2.4,Lopez M.,4,15,2
4377,C,Castrovilli,Fiorentina,9,3.1,,2,9,1
2839,C,Sottil,Fiorentina,8,2.7,,3,12,1
4285,C,Arthur Melo,Fiorentina,8,2.1,,5,18,6
5788,C,Sabiri,Fiorentina,8,1.9,,3,7,1
4681,C,Lopez M.,Fiorentina,7,2.2,Mandragora,3,22,11
526,C,Duncan,Fiorentina,6,2.3,,3,9,1
6393,C,Infantino,Fiorentina,4,2.0,,2,10,3
6236,C,Amatucci,Fiorentina,2,1.0,,1,1,1
5336,A,Nzola,Fiorentina,22,3.2,Beltran L.,4,81,25
4179,A,Gonzalez N.,Fiorentina,17,3.6,,5,95,49
6409,A,Beltran L.,Fiorentina,15,3.0,Nzola,3,61,23
4184,A,Brekalo,Fiorentina,11,2.7,,3,17,1
2762,A,Kouame',Fiorentina,8,2.0,,3,8,1
4867,P,Turati,Frosinone,5,1.0,,5,8,1
2294,P,Cerofolini,Frosinone,2,1.0,,1,1,1
2799,P,Frattali,Frosinone,1,1.0,,1,1,1
76,D,Romagnoli S.,Frosinone,6,2.3,,3,6,1
