Id,Role,Name,Squad,Price,Age,MyRating,Mate,Regularness,FVM,Pg23_24,Mv23_24,Mf23_24,Pg22_23,Mv22_23,Mf22_23,Pg21_22,Mv21_22,Mf21_22,Pg20_21,Mv20_21,Mf20_21,Pg19_20,Mv19_20,Mf19_20,ExpectedMf
4431,P,Carnesecchi,Atalanta,13,24,4.3,,4,55,27.0,6.19,5.3,27.0,6.35,4.63,,,,0.0,0.0,0.0,,,,5.28
2792,P,Musso,Atalanta,4,30,3.9,,3,20,11.0,6.14,5.05,23.0,6.13,4.85,33.0,6.11,4.79,35.0,6.13,4.6,38.0,6.28,5.08,5.11
2297,P,Rossi F.,Atalanta,1,29,3.4,,1,1,1.0,6.5,6.5,0.0,0.0,0.0,1.0,6.0,5.0,0.0,0.0,0.0,1.0,6.0,5.0,5.06
4887,D,Bellanova,Atalanta,13,24,4.3,Zappacosta,4,45,36.0,6.14,6.35,11.0,6.0,6.0,31.0,5.82,5.9,0.0,0.0,0.0,1.0,6.0,6.0,6.35
5354,D,Ruggeri,Atalanta,12,22,4.0,,5,42,33.0,5.97,6.08,10.0,5.85,5.8,13.0,5.85,5.81,3.0,5.5,5.5,,,,6.11
554,D,Zappacosta,Atalanta,9,32,3.8,Bellanova,3,33,31.0,5.92,6.06,21.0,6.12,6.64,31.0,6.08,6.24,25.0,6.22,6.72,9.0,5.72,5.83,6.05
2640,D,Kolasinac,Atalanta,9,31,3.7,,5,21,29.0,6.03,6.07,,,,,,,,,,,,,6.05
787,D,Djimsiti,Atalanta,8,31,3.5,Godfrey,4,18,36.0,5.94,5.92,22.0,5.91,5.89,29.0,5.86,5.84,33.0,6.09,6.03,34.0,6.07,6.21,5.91
5526,D,Scalvini,Atalanta,8,21,3.7,,3,12,33.0,6.06,6.2,32.0,5.95,6.03,14.0,5.96,6.14,,,,,,,6.2
6046,D,Hien,Atalanta,8,25,3.5,,5,21,22.0,5.95,5.82,32.0,5.94,5.8,,,,,,,,,,5.85
5324,D,Godfrey,Atalanta,7,26,4.0,Djimsiti,3,15,,,,,,,,,,,,,,,,6.42
695,D,Toloi,Atalanta,4,34,3.8,,2,9,14.0,5.89,5.68,32.0,5.98,6.05,19.0,6.0,6.05,31.0,5.94,5.97,30.0,6.18,6.35,6.34
5067,D,Bakker,Atalanta,4,24,3.8,,3,9,9.0,5.72,6.0,,,,,,,,,,,,,6.39
5685,C,Koopmeiners,Atalanta,28,26,5.0,,4,160,34.0,6.4,7.53,33.0,6.36,7.14,28.0,6.3,6.62,,,,,,,7.49
5119,C,Samardzic,Atalanta,17,22,4.1,,3,53,33.0,6.18,6.74,32.0,6.05,6.59,13.0,6.12,6.73,,,,,,,6.74
2077,C,Pasalic,Atalanta,16,29,4.2,Ederson D.,3,52,33.0,6.21,6.89,32.0,5.95,6.41,33.0,6.24,7.56,20.0,6.08,7.0,34.0,6.15,6.88,6.83
5792,C,Ederson D.s.,Atalanta,15,25,4.0,Pasalic,4,55,36.0,6.14,6.56,34.0,5.94,6.0,15.0,6.17,6.47,,,,,,,6.56
2766,C,Zaniolo,Atalanta,13,25,3.9,,3,41,,,,13.0,5.81,5.88,27.0,6.0,6.02,0.0,0.0,0.0,25.0,6.16,6.8,6.53
22,C,De Roon,Atalanta,8,33,3.2,,5,16,30.0,5.97,5.97,34.0,6.1,6.26,30.0,5.95,6.13,35.0,6.07,6.06,34.0,5.97,6.06,5.95
4947,C,Brescianini,Atalanta,7,24,3.8,,4,33,35.0,6.09,6.44,,,,,,,,,,,,,6.44
6024,C,Sulemana I.,Atalanta,2,21,3.2,,2,4,19.0,5.89,6.13,13.0,5.92,5.77,,,,,,,,,,6.4
2137,A,Scamacca,Atalanta,27,25,4.3,,3,145,28.0,6.41,7.89,0.0,0.0,0.0,32.0,6.22,7.61,26.0,6.17,7.08,,,,8.01
4730,A,Lookman,Atalanta,27,28,4.2,,5,222,30.0,6.37,7.63,30.0,6.47,7.92,,,,,,,,,,7.65
6228,A,Retegui,Atalanta,22,25,3.9,,5,194,29.0,6.09,6.79,,,,,,,,,,,,,7.04
5995,A,De Ketelaere,Atalanta,21,23,4.1,,5,147,33.0,6.32,7.39,27.0,5.74,5.74,,,,,,,,,,7.64
133,P,Skorupski,Bologna,12,33,4.3,,5,53,32.0,6.17,5.33,37.0,6.19,4.97,36.0,6.24,4.79,28.0,6.09,4.64,37.0,5.99,4.31,5.29
2722,P,Ravaglia F.,Bologna,1,27,3.4,,1,1,6.0,6.33,6.33,0.0,0.0,0.0,,,,4.0,5.88,3.38,,,,5.07
5822,P,Bagnolini,Bologna,1,20,3.4,,1,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,5.04
5678,D,Holm,Bologna,9,27,4.2,Erlic,3,24,18.0,5.94,6.08,18.0,6.06,6.17,0.0,0.0,0.0,,,,,,,6.45
4734,D,Miranda J.,Bologna,8,24,4.0,Lykogiannis,4,16,,,,,,,,,,,,,,,,6.42
6066,D,Posch,Bologna,8,27,3.7,Holm,5,18,30.0,6.1,6.15,30.0,6.12,6.68,,,,,,,,,,6.14
4982,D,Erlic,Bologna,7,26,3.3,Holm,4,17,32.0,5.77,5.78,27.0,5.7,5.59,30.0,5.95,6.07,22.0,5.82,6.14,,,,5.8
6042,D,Lucumi',Bologna,7,26,3.6,Erlic,3,14,29.0,6.1,6.07,33.0,5.83,5.68,,,,,,,,,,6.06
6202,D,Beukema,Bologna,7,26,3.6,,5,16,30.0,6.02,6.02,,,,,,,,,,,,,6.02
2653,D,Lykogiannis,Bologna,5,31,3.9,Miranda J.,3,12,18.0,5.97,6.36,19.0,5.97,6.21,25.0,5.7,5.78,30.0,5.8,6.1,19.0,5.74,5.68,6.39
487,D,De Silvestri,Bologna,3,36,3.6,,2,5,12.0,6.17,6.67,13.0,5.92,5.96,31.0,5.94,6.18,28.0,5.71,5.86,26.0,5.77,5.73,6.3
6407,D,Corazza,Bologna,1,25,3.2,,1,1,5.0,5.9,5.8,,,,,,,,,,,,,6.36
6551,D,Ilic M.,Bologna,1,21,3.2,,1,1,0.0,0.0,0.0,,,,,,,,,,,,,6.34
2167,C,Orsolini,Bologna,22,27,4.5,Ndoye,4,90,31.0,6.16,7.06,32.0,6.16,7.09,26.0,6.04,6.81,31.0,5.97,6.74,37.0,5.92,6.69,7.02
5858,C,Ferguson,Bologna,18,25,4.2,,4,42,31.0,6.39,6.94,31.0,6.24,6.85,,,,,,,,,,6.89
6206,C,Fabbian,Bologna,13,21,4.2,Moro N.,4,43,22.0,6.23,6.86,,,,,,,,,,,,,6.85
5564,C,Ndoye,Bologna,10,24,3.4,Orsolini,3,24,31.0,6.02,6.08,,,,,,,,,,,,,6.11
5784,C,Aebischer,Bologna,10,27,3.2,Moro N.,4,20,31.0,6.0,5.9,26.0,5.87,5.9,8.0,5.88,5.81,,,,,,,5.93
788,C,Freuler,Bologna,9,32,3.3,,5,19,32.0,6.11,6.06,0.0,0.0,0.0,29.0,5.93,5.83,33.0,6.3,6.52,30.0,6.05,6.23,6.04
6459,C,Karlsson,Bologna,7,26,3.5,Cambiaghi,3,10,6.0,5.92,5.92,,,,,,,,,,,,,6.43
5425,C,Urbanski,Bologna,5,21,3.5,,2,10,18.0,5.92,5.83,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,6.42
